423,Ronaldo,Portugal,forward,360,18,91,3,0
424,Simao,Portugal,midfielder,217,2,76,7,0
425,Tiago,Portugal,midfielder,298,6,155,15,0
426,Veloso,Portugal,midfielder,26,1,30,1,0
427,Ivanovic,Serbia,defender,270,3,115,2,0
428,Jovanovic,Serbia,midfielder,245,4,65,2,0
429,Kacar,Serbia,midfielder,20,1,7,1,0
430,Kolarov,Serbia,defender,180,2,46,8,0
431,Krasic,Serbia,midfielder,242,3,60,2,0
432,Kuzmanovic,Serbia,midfielder,180,4,103,1,0
433,Lazovic,Serbia,forward,44,1,14,0,0
434,Lukovic,Serbia,defender,164,1,98,6,0
435,Milijas,Serbia,midfielder,62,0,35,3,0
436,Ninkovic,Serbia,midfielder,160,1,91,2,0
437,Obradovic,Serbia,defender,90,1,42,2,0
438,Pantelic,Serbia,forward,113,3,24,1,0
439,Petrovic,Serbia,midfielder,15,1,3,1,0
440,Stankovic,Serbia,midfielder,270,3,165,5,0
441,Stojkovic,Serbia,goalkeeper,270,0,52,0,7
442,Subotic,Serbia,defender,104,0,49,3,0
443,Tosic,Serbia,midfielder,28,3,9,0,0
444,Vidic,Serbia,defender,270,2,158,7,0
445,Zigic,Serbia,forward,227,5,65,2,0
446,Cech,Slovakia,defender,90,0,35,2,0
447,Durica,Slovakia,defender,360,1,159,4,0
448,Hamsik,Slovakia,midfielder,358,5,143,3,0
449,Holosko,Slovakia,forward,29,0,11,1,0
450,Jakubko,Slovakia,forward,2,0,1,0,0
451,Jendrisek,Slovakia,forward,250,3,55,4,0
452,Kopunek,Slovakia,midfielder,22,1,17,0,0
453,Kozak,Slovakia,midfielder,90,0,66,3,0
454,Kucka,Slovakia,midfielder,181,4,71,10,0
455,Mucha,Slovakia,goalkeeper,360,0,85,0,14
456,Pekaruek,Slovakia,defender,270,0,93,8,0
457,Petras,Slovakia,defender,1,0,0,0,0
458,Salata,Slovakia,defender,83,1,40,2,0
459,Sapara,Slovakia,midfielder,2,0,5,0,0
460,Sestak,Slovakia,forward,152,3,27,1,0
